time,CCTV,V2I
264,1401.28,1344.613999999999
265,1401.28,1354.3241999999989
266,1401.28,1354.3241999999989
267,1401.28,1363.0057999999988
268,1401.28,1363.0057999999988
269,1401.28,1370.6587999999988
270,1401.28,1368.6015999999986
271,1401.28,1372.7159999999983
272,1401.28,1374.7731999999987
273,1401.28,1343.5853999999988
274,1401.28,1340.4995999999992
275,1401.28,1361.9771999999994
276,1401.28,1331.8179999999995
277,1401.28,1320.0505999999996
278,1401.28,1316.9647999999995
279,1401.28,1337.4137999999994
280,1401.28,1339.470999999999
281,1401.28,1330.7893999999992
282,1401.28,1320.0505999999991
283,1401.28,1327.7035999999994
284,1401.28,1317.9933999999994
285,1401.28,1317.9933999999994
286,1401.28,1297.544399999999
287,1401.28,1294.4585999999997
288,1401.28,1313.8789999999997
289,1401.28,1309.764599999999
290,1401.2799999999995,1321.531999999999
291,1401.2799999999995,1311.821799999999
292,1401.2799999999995,1311.821799999999
293,1401.2799999999995,1312.850399999999
294,1401.2799999999995,1332.270799999999
295,1401.2799999999995,1330.2135999999991
296,1401.28,1320.5033999999994
297,1401.28,1325.070599999999
298,1401.2799999999995,1308.1601999999991
299,1401.2799999999995,1306.102999999999
300,1401.2799999999995,1299.478599999999
301,1401.2799999999995,1299.478599999999
302,1401.2799999999995,1308.160199999999
303,1401.2799999999995,1328.609199999999
304,1401.2799999999995,1330.666399999999
305,1401.28,1341.4051999999992
306,1401.2799999999995,1332.7235999999994
307,1401.2799999999995,1332.7235999999994
308,1401.2799999999995,1324.0419999999997
309,1401.28,1325.0705999999996
310,1401.28,1314.3317999999992
311,1401.2799999999995,1332.7235999999994
312,1401.2799999999995,1344.4909999999993
313,1401.2799999999995,1323.0133999999996
314,1401.2799999999995,1305.6501999999998
315,1401.28,1307.7074
316,1401.28,1292.4014
317,1401.2799999999995,1293.43
318,1401.2799999999995,1279.1526
319,1401.28,1265.3280000000002
320,1401.28,1254.5892000000003
321,1401.28,1264.2994000000003
322,1401.28,1242.8218000000004
323,1401.28,1255.6178000000002
324,1401.2799999999995,1244.8790000000004
325,1401.2799999999995,1235.1688000000004
326,1401.2799999999995,1260.1850000000004
327,1401.2799999999995,1272.9810000000004
328,1401.2799999999995,1293.4300000000003
329,1401.28,1277.0954000000004
330,1401.28,1279.1526000000003
331,1401.28,1285.7770000000005
332,1401.28,1262.2422
333,1401.28,1278.5768
334,1401.28,1268.8666
335,1401.28,1268.8666
336,1401.28,1246.3604000000005
337,1401.28,1258.1278
338,1401.28,1250.4748000000002
339,1401.28,1250.4748000000002
340,1401.28,1239.736
341,1401.28,1244.879
342,1401.28,1254.5892
343,1401.28,1263.2707999999998
344,1401.28,1263.2707999999998
345,1401.2799999999995,1264.2994
346,1401.2799999999995,1284.7483999999995
347,1401.2799999999995,1266.3565999999996
348,1401.28,1279.1525999999992
349,1401.28,1255.1649999999993
350,1401.28,1243.397599999999
351,1401.28,1248.5405999999994
352,1401.28,1239.8589999999992
353,1401.28,1239.8589999999992
354,1401.28,1247.5119999999993
355,1401.28,1247.5119999999993
356,1401.28,1256.1935999999992
357,1401.28,1256.1935999999992
358,1401.28,1248.5405999999991
359,1401.28,1243.9733999999992
