time,v2i static,v2i dynamic,cctv static,cctv dynamic
23532,0.0,381.7836000000001,0.0,1401.2799999999995
23533,0.0,381.7836000000001,0.0,1401.2799999999995
23534,0.0,393.5510000000001,0.0,1401.2799999999997
23535,0.0,382.81220000000013,0.0,1401.2799999999997
23536,0.0,393.5510000000001,0.0,1401.2799999999997
23537,0.0,406.34700000000015,0.0,1401.2799999999997
23538,0.0,396.6368000000001,0.0,1401.28
23539,0.0,388.98380000000014,0.0,1401.28
23540,0.0,388.98380000000014,0.0,1401.28
23541,0.0,398.69400000000013,0.0,1401.28
23542,0.0,406.34700000000015,0.0,1401.2799999999997
23543,0.0,406.34700000000015,0.0,1401.2799999999997
23544,0.0,397.66540000000015,0.0,1401.2799999999997
23545,0.0,407.37560000000013,0.0,1401.2799999999997
23546,0.0,407.37560000000013,0.0,1401.2799999999997
23547,0.0,420.1716000000001,0.0,1401.2799999999997
23548,0.0,424.2860000000002,0.0,1401.28
23549,0.0,424.2860000000002,0.0,1401.28
23550,0.0,435.02480000000014,0.0,1401.28
23551,0.0,431.93900000000014,0.0,1401.2799999999997
23552,0.0,440.62060000000014,0.0,1401.2799999999997
23553,0.0,448.27360000000016,0.0,1401.2799999999997
23554,0.0,455.9266,0.0,1401.2799999999997
23555,0.0,465.6368,0.0,1401.2799999999997
23556,0.0,478.43280000000004,0.0,1401.2799999999997
23557,0.0,488.14300000000003,0.0,1401.2799999999997
23558,0.0,496.8246000000001,0.0,1401.2799999999997
23559,0.0,500.9390000000001,0.0,1401.2799999999997
23560,0.0,518.3022000000001,0.0,1401.2799999999997
23561,0.0,518.3022000000001,0.0,1401.2799999999997
23562,0.0,538.7512000000002,0.0,1401.2799999999997
23563,0.0,525.9552000000001,0.0,1401.2799999999997
23564,0.0,525.9552000000001,0.0,1401.2799999999997
23565,0.0,511.67780000000016,0.0,1401.2799999999997
23566,0.0,511.67780000000016,0.0,1401.2799999999997
23567,0.0,518.3022000000002,0.0,1401.2799999999997
23568,0.0,518.3022000000002,0.0,1401.2799999999997
23569,0.0,508.59200000000004,0.0,1401.2799999999997
23570,0.0,508.59200000000004,0.0,1401.2799999999997
23571,0.0,525.9552000000001,0.0,1401.2799999999997
23572,0.0,525.9552000000001,0.0,1401.2799999999997
23573,0.0,518.3022,0.0,1401.2799999999997
23574,0.0,499.91040000000004,0.0,1401.28
23575,0.0,499.91040000000004,0.0,1401.28
23576,0.0,481.5186000000001,0.0,1401.28
23577,0.0,500.9390000000001,0.0,1401.28
23578,0.0,490.2002000000001,0.0,1401.2799999999997
23579,0.0,497.85320000000013,0.0,1401.2799999999997
23580,0.0,489.1716000000001,0.0,1401.2799999999997
23581,0.0,478.43280000000016,0.0,1401.2799999999997
23582,0.0,488.14300000000003,0.0,1401.2799999999997
23583,0.0,476.37560000000013,0.0,1401.2799999999997
23584,0.0,482.99999999999994,0.0,1401.2799999999997
23585,0.0,475.3470000000001,0.0,1401.2799999999997
23586,0.0,467.6940000000001,0.0,1401.2799999999997
23587,0.0,467.6940000000001,0.0,1401.2799999999997
23588,0.0,467.6940000000001,0.0,1401.2799999999997
23589,0.0,457.9838,0.0,1401.2799999999997
23590,0.0,457.9838,0.0,1401.2799999999997
23591,0.0,457.9838,0.0,1401.2799999999997
23592,0.0,457.9838,0.0,1401.2799999999997
23593,0.0,451.35940000000005,0.0,1401.2799999999997
23594,0.0,481.51860000000005,0.0,1401.28
23595,0.0,469.75120000000004,0.0,1401.2799999999997
23596,0.0,469.75120000000004,0.0,1401.2799999999997
23597,0.0,469.75120000000004,0.0,1401.2799999999997
23598,0.0,477.40420000000006,0.0,1401.2799999999997
23599,0.0,457.98380000000003,0.0,1401.2799999999997
23600,0.0,476.3756000000001,0.0,1401.2799999999997
23601,0.0,476.3756000000001,0.0,1401.2799999999997
23602,0.0,476.3756000000001,0.0,1401.2799999999997
23603,0.0,468.72260000000006,0.0,1401.2799999999997
23604,0.0,468.72260000000006,0.0,1401.2799999999997
23605,0.0,468.72260000000006,0.0,1401.2799999999997
23606,0.0,442.67780000000005,0.0,1401.2799999999997
23607,0.0,442.67780000000005,0.0,1401.2799999999997
23608,0.0,445.7636,0.0,1401.2799999999997
23609,0.0,445.7636,0.0,1401.2799999999997
23610,0.0,445.7636,0.0,1401.2799999999997
23611,0.0,454.4452,0.0,1401.2799999999997
23612,0.0,438.1106000000001,0.0,1401.2799999999997
23613,0.0,427.3718,0.0,1401.2799999999997
23614,0.0,427.3718,0.0,1401.2799999999997
23615,0.0,427.3718,0.0,1401.2799999999997
23616,0.0,427.3718,0.0,1401.2799999999997
23617,0.0,427.3718,0.0,1401.2799999999997
23618,0.0,415.6044000000001,0.0,1401.2799999999997
23619,0.0,407.9514000000001,0.0,1401.2799999999997
23620,0.0,418.69020000000006,0.0,1401.2799999999997
23621,0.0,418.69020000000006,0.0,1401.2799999999997
23622,0.0,418.69020000000006,0.0,1401.2799999999997
23623,0.0,408.9800000000001,0.0,1401.2799999999997
23624,0.0,407.95140000000004,0.0,1401.2799999999997
23625,0.0,417.6616,0.0,1401.2799999999997
23626,0.0,417.6616,0.0,1401.2799999999997
23627,0.0,417.6616,0.0,1401.2799999999997
23628,0.0,417.6616,0.0,1401.2799999999997
23629,0.0,428.40040000000005,0.0,1401.2799999999995
23630,0.0,430.4575999999999,0.0,1401.2799999999997
23631,0.0,418.69019999999995,0.0,1401.2799999999997
23632,0.0,418.69019999999995,0.0,1401.2799999999997
23633,0.0,411.0371999999999,0.0,1401.2799999999997
23634,0.0,421.776,0.0,1401.28
23635,0.0,421.776,0.0,1401.28
23636,0.0,421.776,0.0,1401.28
23637,0.0,421.776,0.0,1401.28
23638,0.0,444.2822000000001,0.0,1401.2799999999997
23639,0.0,444.2822000000001,0.0,1401.2799999999997
23640,0.0,444.2822000000001,0.0,1401.2799999999997
23641,0.0,451.9352000000001,0.0,1401.2799999999997
