time,taxis
76313,165
76314,168
76315,170
76316,171
76317,171
76318,172
76319,173
76320,174
76321,176
76322,177
76323,180
76324,181
76325,184
76326,183
76327,182
76328,182
76329,182
76330,180
76331,179
76332,179
76333,179
76334,181
76335,182
76336,181
76337,180
76338,178
76339,175
76340,175
76341,175
76342,179
76343,180
76344,179
76345,181
76346,181
76347,178
76348,176
76349,180
76350,179
76351,179
76352,179
76353,178
76354,178
76355,177
76356,176
76357,175
76358,176
76359,177
76360,179
76361,180
76362,179
76363,181
76364,178
76365,177
76366,174
76367,176
76368,175
76369,176
76370,180
76371,179
76372,179
76373,178
76374,178
76375,179
76376,178
76377,176
76378,172
76379,171
76380,169
76381,171
76382,172
76383,172
76384,172
76385,174
76386,174
76387,176
76388,172
76389,172
76390,173
76391,172
76392,171
76393,171
76394,172
76395,173
76396,171
76397,172
76398,170
76399,171
76400,170
76401,170
76402,168
76403,169
76404,169
76405,170
76406,171
76407,171
76408,172
76409,170
76410,170
76411,168
76412,168
76413,166
76414,165
76415,162
76416,163
76417,162
76418,163
76419,163
76420,163
76421,164
76422,163
76423,163
76424,160
76425,160
76426,160
76427,159
76428,159
76429,158
76430,158
76431,161
76432,162
76433,159
76434,158
76435,158
76436,157
76437,153
76438,151
76439,152
76440,152
76441,153
76442,153
76443,157
76444,158
76445,155
76446,155
76447,152
76448,151
76449,153
76450,153
76451,152
76452,152
76453,152
76454,150
76455,149
76456,149
76457,148
76458,148
76459,146
76460,147
76461,147
76462,147
76463,145
76464,143
76465,141
76466,139
76467,140
76468,139
76469,139
76470,138
76471,137
76472,136
76473,136
76474,137
76475,139
76476,141
76477,142
76478,141
76479,139
76480,139
76481,140
76482,140
76483,139
76484,137
76485,137
76486,137
76487,135
76488,134
76489,134
76490,136
76491,135
76492,135
76493,136
76494,135
76495,135
76496,134
76497,135
76498,134
76499,133
76500,133
76501,132
76502,134
76503,136
76504,136
76505,136
76506,137
76507,137
76508,139
76509,140
76510,144
76511,145
76512,144
76513,145
76514,140
76515,137
76516,138
76517,137
76518,138
76519,139
76520,137
76521,138
76522,138
76523,137
76524,137
76525,136
76526,134
76527,134
76528,133
76529,131
76530,130
76531,130
76532,129
76533,129
76534,126
76535,127
76536,128
76537,128
76538,129
76539,128
76540,128
76541,128
76542,128
76543,127
76544,124
76545,123
76546,122
76547,123
76548,125
76549,125
76550,126
76551,127
76552,126
76553,127
76554,126
76555,126
76556,129
76557,131
76558,131
76559,131
76560,133
76561,134
76562,134
76563,134
76564,137
76565,137
76566,136
76567,135
76568,135
76569,134
76570,133
76571,133
76572,131
76573,133
76574,133
76575,133
76576,133
76577,134
76578,134
76579,135
76580,137
76581,140
76582,138
76583,137
76584,137
76585,138
76586,137
76587,139
76588,141
76589,140
76590,140
76591,142
76592,143
76593,144
76594,143
76595,144
76596,145
76597,145
76598,143
76599,145
76600,143
76601,145
76602,146
76603,145
76604,144
76605,144
76606,145
76607,141
76608,139
76609,139
76610,139
76611,139
76612,139
76613,136
76614,137
76615,137
76616,136
76617,140
76618,141
76619,140
76620,141
76621,141
76622,142
76623,142
76624,141
76625,139
76626,140
76627,141
76628,140
76629,140
76630,141
76631,140
76632,141
76633,141
76634,141
76635,144
76636,145
76637,143
76638,145
76639,142
76640,142
76641,140
76642,141
76643,141
76644,140
76645,140
76646,141
76647,141
76648,142
76649,144
76650,143
76651,141
76652,140
76653,139
76654,138
76655,136
76656,134
76657,134
76658,134
76659,133
76660,134
76661,133
76662,132
76663,133
76664,133
76665,132
76666,131
76667,131
76668,134
76669,134
76670,134
76671,134
76672,133
76673,133
76674,131
76675,129
76676,129
76677,129
76678,131
76679,131
76680,131
76681,130
76682,129
76683,130
76684,131
76685,131
